('CHEF', [0.00034925665957673323, 0.026119155353510944])
('FCNCA', [-0.00021916612421946728, 0.019125189328152218])
('HFFC', [-0.00016046609121718724, 0.021383034202063424])
('WHLR', [0.0015376391172261463, 0.020661178951214668])
('DGRE', [0.00028591746373645869, 0.01123426540839541])
('CHEK', [0.0064420476783500127, 0.050252268298447839])
('CFNL', [0.00014850317752497982, 0.0271311351884992])
('THRM', [0.0017520844019974374, 0.059403445967498844])
('PERF', [0.0021768762927719511, 0.061914641236817641])
('AWX', [0.00079973912513702004, 0.032873458095651044])
('AMSG', [-0.00022169508333636997, 0.026239157040062262])
('AMSF', [-0.00042760410548371052, 0.024483385124186515])
('BPMC', [0.005377057111302601, 0.040533956422131596])
('LKFN', [-0.00013951840852289172, 0.024111605492921635])
('AMSC', [0.001633457361285608, 0.047393828061053113])
('FSNN', [0.0051073961936788492, 0.081638315332326253])
('CFNB', [0.0003117591246698202, 0.032869703226243101])
('LIVE', [0.0038407477759657958, 0.080933946326880876])
('THRX', [0.00047988469769604051, 0.032337265178888963])
('UAMY', [0.0042373244413856865, 0.091835254880616932])
('PERY', [0.00038398707332625693, 0.037056802512645454])
('GBCI', [-0.00022378882720106301, 0.025914874435693465])
('ABGB', [0.0011191044561133043, 0.047784637117031986])
('CDNA', [0.0017421611382967654, 0.031782878335911452])
('TUTI', [0.00057899035448195143, 0.0043815741635979798])
('FCAP', [-0.00018317078615624573, 0.021082534879477775])
('DRRX', [0.0019513520377104369, 0.057099072730255052])
('SIGI', [-0.00019201142445729715, 0.021327279784298395])
('SGNT', [0.00024955677460702989, 0.030538055631998275])
('WEN', [-1.9819738447400987e-05, 0.022262443426163795])
('PXLW', [0.001868669259324552, 0.052761663675713368])
('SGNL', [0.0095482026162058316, 0.076744924628831784])
('PSDV', [0.0022930606307235866, 0.054744780688199032])
('CSPI', [0.00061028547601145607, 0.037104283892728941])
